Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
creme de pentear lola meu cacho minha vida 500g;BRL;30;-29%;400%;Alto;100;0,38;1,12;;;;;;10;20;20;20;10;30;20;10;40;70;50;50
máscara meu cacho minha vida;BRL;140;0%;55%;Alto;100;0,44;1,64;;;;;;170;210;140;110;110;170;210;170;110;170;140;170
cachos lola;BRL;70;0%;75%;Alto;100;0,33;0,79;;;;;;40;70;70;50;50;90;70;70;70;70;90;70
meu cabelo minha vida;BRL;70;0%;29%;Alto;100;0,35;0,78;;;;;;50;50;50;70;50;50;90;70;70;90;70;90
o melhor sabão do mundo lola;BRL;20;0%;∞;Alto;100;0,38;1,56;;;;;;0;0;0;30;20;30;30;40;70;30;20;30
shampoo e condicionador lola cachos;BRL;110;0%;57%;Alto;100;0,34;1,29;;;;;;90;90;90;110;90;140;210;140;110;110;110;110
lola liso leve and solto spray antifrizz 200ml avaliações;BRL;20;0%;0%;Desconhecido;;;;;;;;;0;0;70;70;70;20;0;0;0;0;0;0
lola cachos;BRL;1000;-23%;0%;Alto;100;0,25;0,87;;;;;;880;1000;1000;880;880;1300;1600;1300;1300;1300;1300;1000
kit meu cacho minha vida;BRL;140;0%;56%;Alto;100;0,33;1,38;;;;;;90;140;140;90;90;260;260;170;140;140;110;140
lola cosmetics meu cacho minha vida creme de pentear;BRL;20;-50%;∞;Alto;100;0,43;1,03;;;;;;0;0;50;10;10;20;40;20;30;40;30;20
meu cacho minha vida creme de pentear;BRL;320;-46%;-34%;Alto;100;0,42;1,31;;;;;;260;390;260;320;320;320;390;320;390;390;320;210
sabonete em barra lola cosmetics;BRL;40;33%;33%;Alto;100;0,24;1,19;;;;;;30;50;40;30;70;30;40;30;40;30;50;40
